"sbj_id","test_num","blok","typ","error","correct","age","rt","gain","peak_velocity"
"H1",1,1,"p",3,57,0,261.333333333333,0.781716666666667,319.733333333333
"H1",1,2,"a",13,27,0,276.625,0.762175,298.1
"H1",1,3,"a",9,31,0,299.725,0.871025,330.95
"H1",1,4,"a",5,35,0,328.575,0.898725,303.275
"H1",1,5,"p",3,57,0,249.35,0.808016666666667,311.483333333333
"H7",1,1,"p",1,59,0,242.416666666667,0.799583333333333,337.4
"H7",1,2,"a",1,39,0,387.1,0.7286,416.525
"H7",1,3,"a",2,38,0,355.625,0.783725,481.075
"H7",1,4,"a",3,37,0,341.05,0.787175,330.025
"H7",1,5,"p",3,57,0,254.533333333333,0.817333333333333,417.65
"H8",1,1,"p",1,59,0,301.166666666667,0.780216666666667,318.15
"H8",1,2,"a",6,34,0,348.35,0.695775,347.7
"H8",1,3,"a",2,38,0,354.65,0.742825,353.35
"H8",1,4,"a",8,30,0,354.5,0.715105263157895,376.394736842105
"H8",1,5,"p",9,51,0,280.666666666667,0.710933333333333,359.216666666667
"H9",1,1,"p",0,60,0,299.95,0.762716666666667,349.2
"H9",1,2,"a",6,34,0,321.925,0.641,293.75
"H9",1,3,"a",5,35,0,336.9,0.632975,313.625
"H9",1,4,"a",7,33,0,316.775,0.6093,280.25
"H9",1,5,"p",2,58,0,313.333333333333,0.717783333333333,337.883333333333
"I1",1,1,"p",1,57,0,303.689655172414,0.855258620689655,293.896551724138
"I1",1,2,"a",2,36,0,284.526315789474,0.832473684210526,275.921052631579
"I1",1,3,"a",0,40,0,300.325,0.828575,318.95
"I1",1,4,"a",1,38,0,344.692307692308,0.758435897435897,449.128205128205
"I1",1,5,"p",1,59,0,328.883333333333,0.8097,274.566666666667
"I5",1,1,"p",1,59,0,236.933333333333,0.8987,421.316666666667
"I5",1,2,"a",5,35,0,262.35,0.807575,343.075
"I5",1,3,"a",5,35,0,295.9,0.739125,609.35
"I5",1,4,"a",8,32,0,239.475,0.7128,726.625
"I5",1,5,"p",2,58,0,229.8,0.764166666666667,420.966666666667
"I7",1,1,"p",0,60,0,292.716666666667,0.745366666666667,287.783333333333
"I7",1,2,"a",3,37,0,337.625,0.74165,322.175
"I7",1,3,"a",8,32,0,278.775,0.608875,278.475
"I7",1,4,"a",6,34,0,265.575,0.686,327.275
"I7",1,5,"p",45,15,0,288.3,0.806316666666667,342.15
"J4",1,1,"p",0,59,0,268.627118644068,0.711677966101695,275.169491525424
"J4",1,2,"a",6,34,0,282.35,0.81235,296.075
"J4",1,3,"a",6,34,0,272.975,0.76165,290.775
"J4",1,4,"a",3,37,0,271.3,0.7684,290.2
"J4",1,5,"p",0,59,0,241.101694915254,0.795322033898305,295.491525423729
"J5",1,1,"p",1,58,0,281.932203389831,0.845559322033898,325.915254237288
"J5",1,2,"a",3,37,0,368.225,0.932875,360.95
"J5",1,3,"a",6,34,0,332.8,0.8445,318.75
"J5",1,4,"a",5,35,0,355.55,0.857575,328.875
"J5",1,5,"p",1,59,0,263.916666666667,0.817266666666667,325.283333333333
"J8",1,1,"p",2,58,0,270.55,0.860333333333333,349.233333333333
"J8",1,2,"a",6,33,0,322.358974358974,0.81651282051282,358.358974358974
"J8",1,3,"a",5,34,0,292.74358974359,0.920384615384615,360.282051282051
"J8",1,4,"a",5,35,0,297.625,0.824075,324.725
"J8",1,5,"p",4,56,0,229.316666666667,0.819366666666667,381.016666666667
"K4",1,1,"p",3,57,0,290.016666666667,0.721183333333333,366.433333333333
"K4",1,2,"a",2,38,0,336.75,0.71425,272.8
"K4",1,3,"a",2,38,0,327.525,0.6907,314.05
"K4",1,4,"a",5,35,0,329.6,0.6471,281.625
"K4",1,5,"p",0,60,0,265.4,0.741283333333333,292.95
"K6",1,1,"p",1,59,0,258.816666666667,0.902166666666667,288.25
"K6",1,2,"a",6,34,0,290.025,0.81145,239.6
"K6",1,3,"a",3,37,0,265.35,0.805525,231.3
"K6",1,4,"a",0,40,0,269.4,0.8096,246.325
"K6",1,5,"p",2,58,0,225.65,0.876666666666667,317.766666666667
"L4",1,1,"p",0,60,0,292.25,0.76115,309.766666666667
"L4",1,2,"a",3,37,0,320.025,0.80525,324.025
"L4",1,3,"a",3,37,0,329.675,0.600975,251.825
"L4",1,4,"a",4,36,0,328.6,0.670325,317.525
"L4",1,5,"p",2,58,0,296.533333333333,0.712166666666667,283.983333333333
"M1",1,1,"p",0,60,0,210.233333333333,0.729983333333333,247.183333333333
"M1",1,2,"a",12,28,0,352.15,0.64715,233.125
"M1",1,3,"a",13,27,0,378.55,0.6597,249.275
"M1",1,4,"a",14,26,0,249.05,0.5981,248.75
"M1",1,5,"p",0,60,0,208.583333333333,0.789883333333333,273.25
"M8",1,1,"p",0,60,0,276.566666666667,0.830283333333333,330.133333333333
"M8",1,2,"a",3,37,0,287,0.775025,389.85
"M8",1,3,"a",2,38,0,266.5,0.81775,383.85
"M8",1,4,"a",4,36,0,258.7,0.75255,450.5
"M8",1,5,"p",0,60,0,218.083333333333,0.862583333333333,387.15
"N1",1,1,"p",2,58,0,289.2,0.78585,448.1
"N1",1,2,"a",10,30,0,363.525,0.66565,453.25
"N1",1,3,"a",6,34,0,361.4,0.806775,448.15
"N1",1,4,"a",11,29,0,320.85,0.833925,423.1
"N1",1,5,"p",6,54,0,261.433333333333,0.77205,357.766666666667
"N3",1,1,"p",0,60,0,271.1,0.784266666666667,239.116666666667
"N3",1,2,"a",2,38,0,332.25,0.7535,262.175
"N3",1,3,"a",3,37,0,297.025,0.8315,328.575
"N3",1,4,"a",10,30,0,233.475,0.657025,252.375
"N3",1,5,"p",0,60,0,231.6,0.839033333333333,252.866666666667
"N7",1,1,"p",1,59,0,253.466666666667,0.877866666666667,460.833333333333
"N7",1,2,"a",6,34,0,296.075,0.895625,380.6
"N7",1,3,"a",6,34,0,258.275,0.81125,374.275
"N7",1,4,"a",7,33,0,273.3,0.836575,334.8
"N7",1,5,"p",0,60,0,265.933333333333,0.888833333333333,382.2
"P0",1,1,"p",1,59,0,274.366666666667,0.889316666666667,394.883333333333
"P0",1,2,"a",2,38,0,346.75,0.84205,360.8
"P0",1,3,"a",2,37,0,311.051282051282,0.803179487179487,340.128205128205
"P0",1,4,"a",2,38,0,341.625,0.782725,336.35
"P0",1,5,"p",1,59,0,304.4,0.854783333333333,367.9
"P9",1,1,"p",59,1,0,335.75,0.773466666666667,383.7
"P9",1,2,"a",7,33,0,295.6,0.6628,604.525
"P9",1,3,"a",4,36,0,308.025,0.7305,443.175
"P9",1,4,"a",4,36,0,295.925,0.613775,518.1
"P9",1,5,"p",1,59,0,240.833333333333,0.781,428.116666666667
"Q3",1,1,"p",4,56,0,297,0.871866666666667,342.516666666667
"Q3",1,2,"a",4,36,0,296.95,0.91645,363.325
"Q3",1,3,"a",6,34,0,317.4,0.858875,337.825
"Q3",1,4,"a",4,35,0,282.615384615385,0.755153846153846,348
"Q3",1,5,"p",6,53,0,278.067796610169,0.770915254237288,344.949152542373
"Q5",1,1,"p",3,57,0,316.966666666667,0.824,390.233333333333
"Q5",1,2,"a",0,40,0,368.7,0.826575,351.175
"Q5",1,3,"a",3,37,0,322.575,0.761075,323.5
"Q5",1,4,"a",2,38,0,314.375,0.77575,395.775
"Q5",1,5,"p",8,52,0,252.516666666667,0.73515,312
"Q6",1,1,"p",0,60,0,240.033333333333,0.706783333333333,344.916666666667
"Q6",1,2,"a",4,36,0,247.65,0.671225,322.65
"Q6",1,3,"a",8,32,0,263.575,0.707375,372.1
"Q6",1,4,"a",3,37,0,291.025,0.713925,334.45
"Q6",1,5,"p",1,59,0,217.233333333333,0.706316666666667,354.333333333333
"Q9",1,1,"p",0,60,0,266.033333333333,0.86735,336.7
"Q9",1,2,"a",1,39,0,317.275,0.8739,321.225
"Q9",1,3,"a",2,38,0,305.175,0.892825,308.1
"Q9",1,4,"a",0,40,0,270.675,0.855975,309
"Q9",1,5,"p",1,59,0,224.116666666667,0.847266666666667,329.833333333333
"R0",1,1,"p",1,59,0,268.9,0.9008,335.9
"R0",1,2,"a",2,38,0,277.275,0.866525,334.225
"R0",1,3,"a",1,39,0,299.425,0.910025,347.925
"R0",1,4,"a",0,40,0,287.125,0.91995,344.075
"R0",1,5,"p",3,57,0,314.55,0.878933333333333,347.7
"R1",1,1,"p",2,57,0,327.169491525424,0.850152542372881,327.28813559322
"R1",1,2,"a",5,35,0,397.525,0.8656,377
"R1",1,3,"a",7,33,0,356.525,0.82985,322.575
"R1",1,4,"a",5,35,0,375.4,0.834975,273.425
"R1",1,5,"p",2,58,0,274.15,0.838083333333333,319.116666666667
"R4",1,1,"p",0,60,0,281.133333333333,0.882533333333333,363.2
"R4",1,2,"a",6,34,0,344.4,0.570025,268.225
"R4",1,3,"a",4,36,0,354.575,0.63755,292.475
"R4",1,4,"a",3,37,0,352.775,0.71425,311.4
"R4",1,5,"p",0,60,0,272.966666666667,0.806666666666667,338.9
"R9",1,1,"p",0,60,0,284.733333333333,0.911,502.866666666667
"R9",1,2,"a",1,39,0,286.175,0.8623,579.15
"R9",1,3,"a",2,38,0,322.125,0.92795,488.425
"R9",1,4,"a",2,38,0,342.875,0.8892,404.425
"R9",1,5,"p",1,59,0,267.8,0.871216666666667,333.916666666667
"S1",1,1,"p",1,58,0,266.525423728814,0.915338983050847,329.745762711864
"S1",1,2,"a",0,40,0,364.225,0.8921,313.3
"S1",1,3,"a",0,40,0,335.625,0.864525,303.825
"S1",1,4,"a",0,40,0,343.5,0.836825,303.55
"S1",1,5,"p",1,58,0,243.35593220339,0.896237288135593,330.406779661017
"S2",1,1,"p",0,60,0,309.75,0.8624,347.966666666667
"S2",1,2,"a",5,34,0,340.74358974359,0.765102564102564,283.307692307692
"S2",1,3,"a",2,37,0,372.717948717949,0.655974358974359,262.179487179487
"S2",1,4,"a",2,32,0,302.382352941176,0.911382352941176,349.382352941176
"S2",1,5,"p",7,50,0,283.508771929825,0.630982456140351,318.456140350877
"S4",1,1,"p",2,58,0,280.7,0.929933333333333,311.483333333333
"S4",1,2,"a",1,39,0,382.375,1.08095,303.5
"S4",1,3,"a",2,37,0,447.435897435897,0.865589743589744,260.230769230769
