subject,conditions,inhib_fail_prob,anti_rt,inhib_fail_rt,predicted_pro_rt,predicted_pro_prob,predicted_anti_rt,predicted_anti_prob,age
1,1,0.0699134773356398,4.23809552297708,2.2750398421606,2.21655773739412,0.0714898739047246,4.22943661058304,0.928510126095275,1
1,2,0.992053012127936,45.2365480228621,3.86134740180544,3.85481441817137,0.992049604736016,5.88090941936755,0.0079503952639836,1
2,1,0.251918732186694,3.41160733745807,1.87394299601487,1.8687269538677,0.252096355538821,3.26558908550752,0.747903644461179,0
2,2,0.878126445830095,9.41145487696496,2.41278309318188,2.41055962614641,0.877114810474823,3.47425504379494,0.122885189525177,0
3,1,0.104967741195954,3.01874641674713,1.8274439798383,1.79715473362726,0.10650091956542,3.00418594652949,0.89349908043458,1
3,2,0.97056496815339,20.9285835377652,2.64273042636515,2.63814836193648,0.970601038909418,1.92882196627543,0.0293989610905823,1
4,1,0.0502756340297616,3.49341032046543,2.24692445944791,2.16799516011183,0.0518243820496391,3.48745181637383,0.948175617950361,1
4,2,0.985207797175308,38.8894162979412,3.26861695082713,3.26322571056755,0.985214262775945,2.54520888622101,0.0147857372240544,1
5,1,0.56385771050511,4.42443879364153,1.97116107929966,1.96978665694591,0.563569170705221,3.65599163470806,0.436430829294779,1
5,2,0.915850824219805,10.7422309367636,2.11824110881768,2.1172810181387,0.915146630203132,3.83549234747949,0.0848533697968675,1
6,1,0.0549230711609456,2.91166987966771,1.98011896906154,1.90709544701728,0.0565962539470046,2.8972371936996,0.943403746052995,1
6,2,0.908589899783125,11.044626349875,2.69469192560423,2.68941328715631,0.908610213412946,2.82097032706473,0.0913897865870539,1
7,1,0.074622187922464,2.97701752362787,1.53782190650423,1.49727607451982,0.0762908763101959,2.97061281820272,0.923709123689804,0
7,2,0.993208982074241,48.6500807048219,2.46113819094572,2.45676539745833,0.993074709461427,2.93517274113281,0.00692529053857329,0
8,1,0.0999982881052428,3.58869945808314,2.00409876107038,1.97873459995426,0.1011594689161,3.57061899175824,0.8988405310839,0
8,2,0.970768796253748,19.8408213846752,2.60060147794127,2.59713513526357,0.970743980853721,2.27545841917715,0.0292560191462788,0
9,1,0.147187656870964,2.94074480233092,1.36180866748857,1.35308875962614,0.147909595979416,2.9293544924866,0.852090404020583,0
9,2,0.961713439103907,21.4420031340906,2.61970827920537,2.61766392814571,0.961323946049,5.89661257332382,0.0386760539510007,0
10,1,0.0271393623983211,3.37534111499927,2.59599225808882,2.52926064448215,0.0276867090471153,3.36670306233307,0.972313290952885,0
10,2,0.989844343041643,51.5545141426611,3.05997633334612,3.05804464328365,0.98921979345623,6.11096294459534,0.0107802065437698,0
11,1,0.0261279285633535,3.0666654208814,2.04965580846219,1.88302513348247,0.0280839962132912,3.06265200193421,0.971916003786709,0
11,2,0.983569948708182,35.4474676198452,2.67228128180629,2.66690551021028,0.983577565362475,3.6958199991631,0.0164224346375253,0
12,1,0.0391836480242091,3.58137183240588,1.5477047853978,1.50921303786594,0.0400520228831832,3.5782357280005,0.959947977116817,0
12,2,0.977433967690559,51.587335632173,3.82122226783116,3.81815999374519,0.9773069599079,17.5891316938724,0.0226930400920999,0
13,1,0.111540720146387,3.80849437890201,2.16340026918525,2.12849433633014,0.113091669709993,3.78496748999893,0.886908330290007,1
13,2,0.985349638240909,40.4693437799224,3.26166801248403,3.25617187940733,0.985236735732317,4.73680956073489,0.0147632642676826,1
14,1,0.0530173224543682,3.17471344978306,1.61362081300794,1.59367958178459,0.0535452944516041,3.17004109417814,0.946454705548396,0
14,2,0.978962959181089,33.7018063145883,2.79779359446085,2.79610362316613,0.978430952880102,3.85112756022301,0.0215690471198977,0
15,1,0.0988898549421306,3.30278349158937,2.47142146694419,2.42163690576106,0.100731027840621,3.27715243351172,0.899268972159379,0
15,2,0.97832184011672,25.1405101754833,2.81219628608038,2.80626477827753,0.978285095563553,2.68561303116724,0.0217149044364467,0
16,1,0.0485506240567089,2.7615670016332,1.53777199438688,1.4345534194588,0.0528209636807942,2.76045464678611,0.947179036319206,0
16,2,0.983781133316641,23.079066323537,2.6080669674844,2.59804924554384,0.983822010726806,5.85484988588459,0.0161779892731944,0
17,1,0.11659952315166,4.16807353156368,2.22027988718833,2.18782630428362,0.118012417687398,4.14642421505487,0.881987582312601,1
17,2,0.955189786107591,20.6449383691857,3.19270693680846,3.18737635204461,0.955247668279333,4.69997896048365,0.0447523317206668,1
18,1,0.17410012772037,2.97309594820707,2.15129426839601,2.11701590498722,0.176257323374277,2.93663241488362,0.823742676625723,1
18,2,0.971514913426445,19.3698863867779,2.36083189612019,2.35451286125327,0.971557711777842,2.11817625034657,0.028442288222158,1
19,1,0.124010518130279,3.17966670969116,1.51782944681874,1.49680596396634,0.125464271941515,3.17073203404729,0.874535728058485,0
19,2,0.967135800374253,21.1795248082767,2.47987666487206,2.4756250833417,0.967172223446773,6.12847625472171,0.0328277765532268,0
20,1,0.123055489454231,3.96474509527447,2.49734952439263,2.46487318567225,0.124391283689224,3.9444212140756,0.875608716310776,1
20,2,0.975215822177248,25.6765229012949,3.05662019380815,3.05188390704866,0.975182923030948,2.31306612146749,0.0248170769690517,1
21,1,0.185866128059956,4.18381241955586,2.88143341052344,2.88084209099043,0.185630788540691,4.09248610211029,0.814369211459309,1
21,2,0.927446003256982,19.3080118370248,3.7313077085944,3.73118267199305,0.926157212010336,4.71614575694177,0.0738427879896646,1
22,1,0.314476270808158,4.19572759394769,2.13625963691491,2.13173760653661,0.31461194928345,4.05648857687774,0.68538805071655,1
22,2,0.914308103683409,14.658504616589,3.16425466859187,3.16207386209464,0.913496930676285,4.38157406911264,0.0865030693237148,1
23,1,0.380473481137065,4.72409608016833,2.00669399379253,2.00278635674902,0.38070457510222,4.55632335441295,0.61929542489778,1
23,2,0.87286076147936,14.4241990775055,3.55075571465501,3.54830123999138,0.872319562902958,5.96116598166823,0.127680437097042,1
