subject,conditions,late_pro_prob,inhib_fail_prob,late_pro_rt,anti_rt,inhib_fail_rt,predicted_pro_rt,predicted_pro_prob,predicted_anti_rt,predicted_anti_prob,age
1,1,0.052160055138775,0.025795597599916,3.89024036288973,4.24421287933029,1.10556701229056,2.90654497570171,0.0777400696189678,4.24398396168134,0.922259930381032,1
1,2,0.990603232818857,0.13599053061698,4.00141447476583,3.7118873607775,2.70831381427218,3.8000136982789,0.991511347634615,3.63781871333636,0.00848865236538468,1
2,1,0.176014690324478,0.0461825952015543,3.0761009662354,3.14333478095722,1.16020663157245,2.66057331663832,0.215444502284204,3.13139399643879,0.784555497715796,0
2,2,0.88168929448739,0.0397763539128093,2.58350147270499,2.48793580998886,1.28217631158767,2.51047207800812,0.886372841361478,2.4701636842822,0.113627158638522,0
3,1,0.0397943964189937,0.0818697087506127,2.5691319640935,2.99961855653348,1.52423438487401,1.84874511668322,0.119663196262948,2.99376703256427,0.880336803737052,1
3,2,0.98382518940265,0.0331990022262873,2.6778287533078,2.28204722092838,1.36345710616521,2.62912543447238,0.984287154214091,2.2732883621124,0.0157128457859092,1
4,1,0.042787626943099,0.0203203335304994,3.07769110275045,3.50600027251154,1.00539630952449,2.38230215827616,0.0632368231649556,3.50585618330128,0.936763176835044,1
4,2,0.987523638677342,0.018660729058636,3.28205762537599,2.9089240192171,1.1795294394948,3.23918591730019,0.987736850214208,2.90250354590912,0.012263149785792,1
5,1,0.180588028088242,0.424654686031172,4.20567376345812,3.89762682788367,1.87268258459758,2.24016000323771,0.527432702536072,3.45110720117593,0.472567297463928,1
5,2,0.928534048221574,0.0941223359939702,2.28847910124222,2.26120371938754,1.46649686253697,2.1532569360074,0.935225949362749,2.19053943334595,0.0647740506372511,1
6,1,0.0436714586833854,0.0380799805339931,2.28402997233873,2.92895793638799,1.00378548202132,1.68525168225414,0.0815380693687775,2.9281258702164,0.918461930631223,1
6,2,0.913164566232757,0.137691783646701,2.90987494397093,2.18443418006292,1.5716577130753,2.69848596104539,0.922363033385741,2.14610786555785,0.077636966614259,1
7,1,0.0273517332325338,0.0382811428877319,2.78026824777874,2.99624369081494,1.08661272002226,1.76550213993722,0.0660984982757998,2.99501116295625,0.9339015017242,0
